Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618504897367460,-9.735668,0.105085,-0.249459,-0.080483,-0.016068,0.007477,41.308266,-1.459600,20.642697,4635731143189069800.000000,0.702526,-0.026357,0.710014,0.040533,-9.575529,1.301476,-1.142571,-0.034423,-0.002567,-0.026722,37.357636,-23.708927,14.798147,4635727599304179700.000000,0.519910,-0.387736,0.661878,0.375861,-9.751219,0.137752,0.058541,-0.022868,0.006409,-0.012927,42.303371,16.508428,6.809509,4635729210453786600.000000,0.611183,0.439069,0.485229,-0.445227
1618504897375793,-9.776015,0.114119,-0.303599,-0.090004,-0.024151,0.003390,41.381510,-1.511052,20.396962,4635731143189069800.000000,0.702562,-0.026717,0.709955,0.040693,-9.548755,1.318193,-1.132930,-0.020143,-0.004048,-0.022656,37.198937,-23.794381,14.700486,4635727599304179700.000000,0.519898,-0.387936,0.661820,0.375775,-9.775631,0.091699,0.039121,-0.021472,0.005450,-0.012818,42.245111,16.492203,6.974851,4635729017685306400.000000,0.611264,0.438935,0.485294,-0.445176
1618504897384126,-9.803605,0.164535,-0.382677,-0.095112,-0.044909,-0.007199,41.419720,-1.346526,20.329575,4635731143189069800.000000,0.702661,-0.027119,0.709834,0.040839,-9.577684,1.291828,-1.130365,-0.006445,-0.006615,-0.019451,37.134922,-23.828852,14.602822,4635727599304179700.000000,0.519910,-0.388093,0.661782,0.375662,-9.811004,0.096410,0.003749,-0.022322,0.009176,-0.012818,42.095163,16.700400,7.257829,4635728995705421800.000000,0.611339,0.438807,0.485371,-0.445116
1618504897392459,-9.748937,0.170904,-0.345520,-0.096040,-0.046905,-0.015419,41.425558,-1.374133,20.426703,4635731143189069800.000000,0.702766,-0.027548,0.709706,0.040965,-9.643636,1.293772,-1.135288,0.001050,-0.009389,-0.016247,37.178613,-23.828852,14.563432,4635727599304179700.000000,0.519937,-0.388220,0.661755,0.375541,-9.814753,0.163406,0.000000,-0.023390,0.008655,-0.014735,42.155624,16.581692,7.287820,4635728995705421800.000000,0.611412,0.438674,0.485451,-0.445060
1618504897400792,-9.717093,0.170904,-0.244677,-0.099291,-0.030697,-0.016579,41.431927,-1.583261,20.489861,4635731143189069800.000000,0.702823,-0.027992,0.709625,0.041095,-9.617292,1.354808,-1.135288,0.001293,-0.010044,-0.014317,37.259137,-23.872541,14.621686,4635727599304179700.000000,0.519963,-0.388339,0.661730,0.375426,-9.770926,0.148991,0.021913,-0.026375,0.011421,-0.015913,42.306805,16.291534,7.024864,4635728995705421800.000000,0.611480,0.438537,0.485545,-0.444998
1618504897409125,-9.757963,0.153388,-0.255295,-0.098362,-0.030698,-0.012957,41.431927,-1.672414,20.449521,4635731143189069800.000000,0.702879,-0.028422,0.709544,0.041234,-9.582811,1.437688,-1.120726,-0.006371,-0.007065,-0.019620,37.344588,-23.902096,14.777594,4635727599304179700.000000,0.519977,-0.388494,0.661691,0.375315,-9.787835,0.047882,0.024415,-0.018076,0.007915,-0.014105,42.323067,16.402693,6.994842,4635728995705421800.000000,0.611542,0.438421,0.485611,-0.444956
1618504897417458,-9.790870,0.145956,-0.239910,-0.095623,-0.043003,-0.006549,41.507809,-1.631555,20.486128,4635731143189069800.000000,0.702970,-0.028822,0.709429,0.041385,-9.582811,1.498938,-1.103593,-0.020875,-0.009163,-0.026685,37.371790,-23.858411,14.914656,4635727599304179700.000000,0.519985,-0.388696,0.661612,0.375234,-9.768425,0.047579,0.024415,-0.010380,0.004601,-0.011969,42.246371,16.418957,6.907191,4635728995705421800.000000,0.611599,0.438325,0.485649,-0.444930
1618504897425791,-9.760619,0.147022,-0.160296,-0.096087,-0.039941,0.000371,41.631482,-1.627822,20.587519,4635731143189069800.000000,0.703051,-0.029204,0.709323,0.041558,-9.597373,1.411787,-1.105947,-0.027772,-0.009201,-0.027566,37.323178,-23.828852,14.895823,4635727471223132200.000000,0.519983,-0.388914,0.661521,0.375170,-9.754968,0.037875,0.024415,-0.010572,0.010024,-0.007915,42.095199,16.408002,6.908138,4635728995705421800.000000,0.611651,0.438248,0.485693,-0.444885
1618504897434124,-9.753180,0.128445,-0.122074,-0.099244,-0.029397,0.005294,41.635220,-1.672414,20.547198,4635731143189069800.000000,0.703099,-0.029581,0.709249,0.041754,-9.621788,1.270006,-1.118154,-0.016942,-0.006840,-0.025430,37.249932,-23.923501,14.798164,4635727384555814900.000000,0.519989,-0.389107,0.661456,0.375078,-9.753716,0.036622,0.024415,-0.007806,0.010681,-0.003643,42.013191,16.483435,6.997029,4635728995705421800.000000,0.611704,0.438190,0.485726,-0.444834
1618504897442457,-9.725073,0.122074,-0.104567,-0.101474,-0.027308,0.006409,41.555610,-1.672414,20.496229,4635731143189069800.000000,0.703139,-0.029962,0.709180,0.041960,-9.617081,1.235300,-1.152201,-0.002606,-0.009594,-0.019471,37.264052,-23.987547,14.816990,4635727384555814900.000000,0.520016,-0.389246,0.661416,0.374965,-9.764670,0.003758,0.024415,-0.005560,0.007806,-0.002246,42.005676,16.492203,7.007050,4635728995705421800.000000,0.611759,0.438137,0.485744,-0.444791
1618504897450790,-9.657128,0.127910,-0.044602,-0.100963,-0.013381,0.004877,41.552393,-1.631565,20.537079,4635731143189069800.000000,0.703139,-0.030348,0.709152,0.042159,-9.578109,1.310669,-1.164631,0.008506,-0.011750,-0.016659,37.337294,-23.791006,14.856410,4635727384555814900.000000,0.520064,-0.389351,0.661394,0.374831,-9.787830,0.010954,-0.041307,-0.006299,0.009394,-0.000219,42.137118,16.492203,6.831792,4635728995705421800.000000,0.611815,0.438092,0.485763,-0.444739
1618504897459123,-9.643310,0.151784,-0.029171,-0.096322,0.011231,-0.003432,41.666468,-1.511118,20.535008,4635731143189069800.000000,0.703068,-0.030749,0.709197,0.042317,-9.551117,1.398698,-1.166983,0.012181,-0.014297,-0.019638,37.417817,-23.556037,14.790896,4635727384555814900.000000,0.520129,-0.389450,0.661366,0.374685,-9.801292,0.099845,-0.005011,-0.014077,0.008655,-0.001917,42.141210,16.777025,6.800776,4635729188417078300.000000,0.611881,0.438024,0.485797,-0.444678
1618504897467456,-9.696895,0.200074,-0.119378,-0.089308,0.027583,-0.013234,41.708482,-1.387427,20.431516,4635731143189069800.000000,0.702950,-0.031160,0.709289,0.042423,-9.568025,1.428266,-1.135518,0.005381,-0.016022,-0.024547,37.503262,-23.588942,14.812049,4635727384555814900.000000,0.520195,-0.389575,0.661316,0.374552,-9.802545,0.208449,-0.010954,-0.025497,0.010462,-0.005012,42.074235,16.875316,6.887152,4635729210453786600.000000,0.611957,0.437926,0.485862,-0.444599
1618504897475789,-9.759010,0.237775,-0.235619,-0.089072,0.020814,-0.014491,41.588024,-1.301975,20.374157,4635731143189069800.000000,0.702853,-0.031571,0.709361,0.042525,-9.568257,1.420989,-1.096320,-0.007209,-0.016659,-0.030524,37.537766,-23.708886,14.972842,4635727576577031200.000000,0.520253,-0.389742,0.661236,0.374441,-9.780638,0.219733,-0.012207,-0.034371,0.007806,-0.006299,42.154339,16.466609,6.908136,4635729210453786600.000000,0.612051,0.437799,0.485938,-0.444511
1618504897484122,-9.766463,0.209148,-0.292978,-0.090840,0.002420,-0.012818,41.546005,-1.339030,20.426657,4635731143189069800.000000,0.702809,-0.031978,0.709380,0.042639,-9.558396,1.423335,-1.093735,-0.019185,-0.017727,-0.033749,37.581423,-23.743399,15.051728,4635727706678362100.000000,0.520299,-0.389941,0.661128,0.374359,-9.767178,0.121164,-0.012207,-0.028541,0.005560,-0.007367,42.241037,16.134202,6.909390,4635729210453786600.000000,0.612136,0.437682,0.486000,-0.444442
1618504897492455,-9.782883,0.118403,-0.292978,-0.085131,-0.004273,-0.009245,41.590622,-1.585768,20.443189,4635731143189069800.000000,0.702784,-0.032356,0.709380,0.042747,-9.551120,1.384608,-1.113219,-0.019679,-0.018159,-0.036091,37.611008,-23.692464,14.935306,4635727706678362100.000000,0.520349,-0.390147,0.661015,0.374275,-9.733067,0.055107,-0.001255,-0.014356,0.008216,-0.004602,42.249825,16.243940,7.073669,4635729210453786600.000000,0.612193,0.437613,0.486037,-0.444390
1618504897500788,-9.884753,0.037703,-0.351312,-0.081132,-0.030304,0.000274,41.514788,-1.833700,20.404404,4635731143189069800.000000,0.702835,-0.032687,0.709307,0.042875,-9.553465,1.355022,-1.086699,-0.011997,-0.016885,-0.037385,37.472758,-23.752541,14.739988,4635727706678362100.000000,0.520410,-0.390341,0.660914,0.374165,-9.729300,0.070731,0.000000,-0.005152,0.008545,-0.003314,42.173169,16.534027,7.180107,4635729210453786600.000000,0.612234,0.437573,0.486055,-0.444354
1618504897509121,-9.949577,0.006375,-0.385892,-0.077655,-0.074057,0.015594,41.391102,-1.840746,20.451602,4635731143189069800.000000,0.703013,-0.032955,0.709108,0.043043,-9.602050,1.333195,-1.120248,-0.003452,-0.016659,-0.036112,37.379070,-23.823920,14.719296,4635727706678362100.000000,0.520483,-0.390512,0.660829,0.374035,-9.718350,0.018492,0.021901,0.002435,0.006629,-0.002246,42.087717,16.784457,7.102557,4635729210453786600.000000,0.612265,0.437552,0.486051,-0.444335
1618504897517454,-10.018444,0.029149,-0.278227,-0.068043,-0.066818,0.043999,41.428092,-1.635440,20.583676,4635731143189069800.000000,0.703166,-0.033110,0.708936,0.043264,-9.668012,1.267481,-1.152429,0.009547,-0.014544,-0.030157,37.473632,-23.676097,14.758751,4635727706678362100.000000,0.520562,-0.390642,0.660779,0.373880,-9.749945,0.023158,0.002514,0.007037,0.007367,-0.002136,42.002264,16.941000,7.004897,4635729210453786600.000000,0.612285,0.437548,0.486039,-0.444325
1618504897525787,-10.084411,-0.014749,-0.218637,-0.057920,-0.040590,0.073271,41.517380,-1.623935,20.638533,4635731143189069800.000000,0.703237,-0.033153,0.708847,0.043538,-9.692678,1.254771,-1.147496,0.030025,-0.012818,-0.023521,37.530491,-23.521575,14.700556,4635727706678362100.000000,0.520659,-0.390711,0.660774,0.373680,-9.797512,0.144856,0.010949,0.007477,0.009393,-0.001178,41.993465,16.748049,6.918198,4635729210453786600.000000,0.612300,0.437552,0.486029,-0.444312
1618504897534120,-9.959794,-0.120978,-0.185850,-0.045198,-0.022736,0.088927,41.552357,-1.798675,20.459805,4635731143189069800.000000,0.703253,-0.033115,0.708815,0.043817,-9.656304,1.189546,-1.132946,0.056072,-0.013454,-0.018180,37.430985,-23.588893,14.602892,4635727706678362100.000000,0.520792,-0.390707,0.660817,0.373422,-9.846346,0.114895,-0.031594,0.010351,0.002906,-0.001068,42.070119,16.581789,6.909390,4635729114136619000.000000,0.612321,0.437553,0.485997,-0.444316
1618504897542453,-9.781426,-0.012421,-0.145390,-0.041465,0.007506,0.094045,41.631426,-1.802515,20.260658,4635731143189069800.000000,0.703180,-0.033056,0.708873,0.044097,-9.595271,1.004356,-1.057615,0.088934,-0.013249,-0.007112,37.417780,-23.607030,14.621625,4635727706678362100.000000,0.520961,-0.390601,0.660930,0.373098,-9.862323,0.033222,-0.069470,0.018346,0.002136,-0.000110,42.210308,16.642090,6.898441,4635729103079604200.000000,0.612330,0.437577,0.485946,-0.444336
1618504897550786,-9.664082,0.233375,-0.235023,-0.054601,0.003925,0.085278,41.594469,-1.757866,20.249884,4635731143189069800.000000,0.703117,-0.033060,0.708916,0.044391,-9.592425,0.937376,-0.925933,0.123340,-0.014091,0.007205,37.401400,-23.521581,14.602904,4635727642702265300.000000,0.521167,-0.390379,0.661117,0.372712,-9.841686,0.013467,-0.073244,0.023058,0.000220,0.000958,42.159722,16.650898,6.984764,4635729103079604200.000000,0.612335,0.437613,0.485879,-0.444367
