Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557500848519327,-9.108838,0.551543,2.984279,-0.209921,0.028655,-0.086907,48.869212,14.474423,-13.512247,4635495878839238700.000000,-0.481926,-0.498353,-0.327935,0.641756,-9.589821,1.604972,1.882354,-0.706955,0.292408,0.562723,48.428950,-10.656925,11.347686,4635492013368672300.000000,0.725165,-0.123811,0.639802,0.222395,8.021111,-5.053018,2.756093,-0.057954,0.301376,-0.229525,-29.770950,34.823968,-25.894202,4635491476497760300.000000,0.770647,-0.412785,-0.480025,-0.072716,-9.558270,0.376776,-3.099154,-2.743360,0.581974,-0.232500,45.412683,5.529699,21.605070,4635492120742854700.000000,-0.652880,-0.197539,-0.704338,0.196553,-9.777910,-1.509397,-2.001648,-0.196812,-0.193431,-0.232635,51.687134,3.563390,-2.331614,4635493838729773100.000000,-0.162622,-0.772997,-0.169334,0.589369
1557500848527660,-9.043578,0.670742,2.883281,-0.196179,0.041814,-0.108650,49.073761,14.549117,-13.685942,4635495878839238700.000000,-0.481942,-0.497990,-0.328772,0.641597,-9.658464,1.586360,1.954389,-0.699426,0.280046,0.575487,48.238239,-11.100361,11.518807,4635492013368672300.000000,0.723616,-0.124719,0.640194,0.225782,7.954750,-4.879568,2.709195,-0.015482,0.264286,-0.204957,-29.554123,34.486150,-26.131102,4635491542414579700.000000,0.771053,-0.412275,-0.479621,-0.073959,-9.378856,-0.016037,-2.892233,-2.708997,0.612681,-0.261762,44.951806,5.099614,21.783075,4635492120742854700.000000,-0.653163,-0.190051,-0.708269,0.188717,-9.765958,-0.722522,-2.050703,-0.305176,-0.233807,-0.188123,51.527908,3.637595,-2.319442,4635493838729773100.000000,-0.163260,-0.772211,-0.170645,0.589844
1557500848535993,-9.133345,0.759742,3.146536,-0.121895,0.101009,-0.132584,49.075202,14.624469,-13.662111,4635495916876990500.000000,-0.481657,-0.497903,-0.329579,0.641465,-9.711291,1.568350,1.996814,-0.691441,0.264479,0.589479,48.095364,-11.419943,11.664475,4635492013368672300.000000,0.722088,-0.125548,0.640543,0.229194,7.785770,-4.762818,2.528241,-0.023459,0.228231,-0.184979,-30.048771,34.904535,-26.212077,4635491583871942700.000000,0.771378,-0.411839,-0.479296,-0.075092,-9.336504,-0.423508,-2.505427,-2.678660,0.632121,-0.263069,44.576278,4.599100,21.898012,4635492120742854700.000000,-0.653279,-0.182629,-0.712135,0.180934,-8.877456,2.176410,-0.468642,-0.341698,-0.229665,-0.415892,51.527451,3.406561,-2.416773,4635493838729773100.000000,-0.163452,-0.771246,-0.172782,0.590431
1557500848544326,-9.284249,0.776949,2.913154,-0.126116,0.169240,-0.151937,49.075877,14.634559,-13.382106,4635496200961785900.000000,-0.481236,-0.497963,-0.330575,0.641222,-9.665855,1.575357,2.046245,-0.688448,0.254674,0.602138,48.060547,-11.657686,11.631849,4635492013368672300.000000,0.720567,-0.126324,0.640862,0.232640,7.677614,-4.651273,2.309387,-0.084664,0.194860,-0.167235,-30.067589,35.108743,-26.169053,4635491583871942700.000000,0.771537,-0.411644,-0.479029,-0.076234,-9.322135,-0.143677,-2.618968,-2.664756,0.684428,-0.246685,44.253792,4.141774,22.076059,4635492120742854700.000000,-0.653159,-0.175307,-0.716025,0.173086,-10.931644,-3.303896,-2.593768,-0.250222,-0.239236,-0.506033,51.527451,3.551915,-2.222333,4635493838729773100.000000,-0.163134,-0.770251,-0.174977,0.591172
1557500848552659,-9.643260,0.782126,2.654596,-0.151239,0.103780,-0.171349,48.990426,14.728658,-13.232148,4635496200961785900.000000,-0.480905,-0.497771,-0.331546,0.641117,-9.593818,1.580558,2.126490,-0.695119,0.250349,0.610630,47.977296,-11.979268,11.609841,4635492013368672300.000000,0.719035,-0.127091,0.641156,0.236128,7.654042,-4.657409,2.084120,-0.182636,0.174544,-0.154978,-29.486661,34.717819,-26.016182,4635491583871942700.000000,0.771490,-0.411793,-0.478774,-0.077499,-9.291252,-0.278674,-2.899751,-2.610397,0.682805,-0.249747,43.866133,3.872521,22.173700,4635492120742854700.000000,-0.652920,-0.168098,-0.719781,0.165389,-9.708732,0.135673,-1.638801,-0.238234,-0.291441,-0.450932,51.369247,3.783571,-2.136562,4635493838729773100.000000,-0.162949,-0.769171,-0.176930,0.592047
1557500848560992,-9.929692,1.085085,2.308573,-0.162754,0.068181,-0.181771,48.896345,14.878697,-13.308197,4635496200961785900.000000,-0.480618,-0.497447,-0.332499,0.641090,-9.557798,1.587562,2.204934,-0.709109,0.239406,0.616986,47.818608,-12.260427,11.576625,4635492013368672300.000000,0.717508,-0.127871,0.641395,0.239675,7.841335,-4.999520,1.952348,-0.253154,0.162212,-0.144466,-29.925971,34.787523,-25.888289,4635491583871942700.000000,0.771300,-0.412191,-0.478517,-0.078849,-9.282004,-0.452414,-3.280215,-2.508297,0.698245,-0.212928,43.566002,3.499764,22.288623,4635492120742854700.000000,-0.652512,-0.161265,-0.723394,0.157868,-9.096347,1.205346,-1.830524,-0.340431,-0.297994,-0.557253,51.137510,3.784295,-2.221491,4635493624625756200.000000,-0.162833,-0.767922,-0.179472,0.592934
1557500848569325,-10.056020,1.242962,2.179497,-0.219048,0.086508,-0.174168,48.776531,14.964149,-13.211225,4635496188295420900.000000,-0.480442,-0.497070,-0.333624,0.640930,-9.507770,1.611976,2.246761,-0.727933,0.228987,0.619526,47.659910,-12.469750,11.407931,4635492013368672300.000000,0.715985,-0.128689,0.641575,0.243282,8.056619,-5.652634,1.943753,-0.231322,0.160052,-0.134028,-30.554597,35.156788,-25.862771,4635491583871942700.000000,0.771145,-0.412538,-0.478255,-0.080120,-9.444896,-0.473874,-3.389457,-2.417576,0.682437,-0.174595,43.329015,2.967023,22.449415,4635492120742854700.000000,-0.651940,-0.155273,-0.726687,0.150967,-9.569119,-1.152315,-1.295660,-0.349258,-0.267134,-0.570351,51.136814,3.930327,-2.221747,4635493623981408300.000000,-0.162689,-0.766727,-0.182098,0.593719
1557500848577658,-10.020087,1.094972,2.551473,-0.262584,0.048050,-0.168143,48.935912,15.049600,-13.038195,4635496093587603500.000000,-0.480425,-0.496512,-0.334775,0.640776,-9.453738,1.604377,2.264772,-0.748734,0.223646,0.618966,47.507628,-12.752298,11.208616,4635492013368672300.000000,0.714456,-0.129562,0.641706,0.246943,8.237777,-6.207185,1.863294,-0.137330,0.171122,-0.127037,-30.332625,35.039689,-25.972359,4635491583871942700.000000,0.771176,-0.412591,-0.477977,-0.081201,-9.337969,-0.288665,-3.814558,-2.339915,0.729228,-0.118241,42.996557,2.655439,22.466666,4635492120742854700.000000,-0.651253,-0.149177,-0.730054,0.143655,-12.697743,-2.412992,-1.220978,-0.226845,-0.455487,-0.982425,51.124643,4.088966,-2.221747,4635493623981408300.000000,-0.161274,-0.764825,-0.185608,0.595468
1557500848585991,-9.896587,0.816498,2.841325,-0.258887,0.014727,-0.181211,48.971744,15.133604,-12.952055,4635496093587603500.000000,-0.480412,-0.495854,-0.335876,0.640719,-9.429922,1.574160,2.276978,-0.768467,0.217746,0.616217,47.316349,-13.076054,11.235569,4635492013368672300.000000,0.712922,-0.130494,0.641785,0.250648,8.507989,-6.402225,1.866618,-0.025180,0.189110,-0.126284,-30.849710,35.023583,-25.978468,4635491583871942700.000000,0.771436,-0.412277,-0.477678,-0.082088,-9.455000,-0.316009,-4.320729,-2.225051,0.719682,-0.066150,42.623898,2.456495,22.598833,4635492120742854700.000000,-0.650492,-0.143534,-0.733221,0.136548,-7.292564,-0.567331,3.793015,-0.157234,-0.515729,-0.233070,50.893390,4.004295,-2.221747,4635493623981408300.000000,-0.161542,-0.763391,-0.186516,0.596951
1557500848594324,-9.755115,1.001745,2.021733,-0.095054,0.154928,-0.186474,48.757809,15.189587,-12.929041,4635496093587603500.000000,-0.479849,-0.495890,-0.336831,0.640611,-9.411313,1.556146,2.282784,-0.789934,0.214138,0.611385,47.084406,-13.360848,11.341273,4635492013368672300.000000,0.711381,-0.131497,0.641817,0.254395,8.645615,-6.525958,1.926826,0.105982,0.213580,-0.121866,-31.851289,35.190885,-25.828378,4635491583871942700.000000,0.771970,-0.411540,-0.477336,-0.082742,-9.495939,-0.534968,-4.467962,-2.094670,0.728099,-0.009982,42.422147,2.083730,22.824950,4635492120742854700.000000,-0.649603,-0.138409,-0.736236,0.129673,-4.683859,8.260154,-3.540674,-0.709590,-0.309366,-0.447916,50.734481,4.004028,-2.306922,4635493623981408300.000000,-0.162869,-0.761924,-0.189620,0.597487
